best m,c is 1.670000,10.940000 with error 15.451701 in direction 0
best m,c is 1.670000,10.950000 with error 15.447781 in direction 0
best m,c is 1.670000,10.960000 with error 15.443867 in direction 0
best m,c is 1.670000,10.970000 with error 15.439958 in direction 0
best m,c is 1.670000,10.980000 with error 15.436055 in direction 0
best m,c is 1.670000,10.990000 with error 15.432158 in direction 0
best m,c is 1.670000,11.000000 with error 15.428266 in direction 0
best m,c is 1.670000,11.010000 with error 15.424379 in direction 0
best m,c is 1.670000,11.020000 with error 15.420498 in direction 0
best m,c is 1.670000,11.030000 with error 15.416623 in direction 0
best m,c is 1.670000,11.040000 with error 15.412753 in direction 0
best m,c is 1.670000,11.050000 with error 15.408888 in direction 0
best m,c is 1.670000,11.060000 with error 15.405029 in direction 0
best m,c is 1.670000,11.070000 with error 15.401176 in direction 0
best m,c is 1.670000,11.080000 with error 15.397328 in direction 0
best m,c is 1.670000,11.090000 with error 15.393485 in direction 0
best m,c is 1.670000,11.100000 with error 15.389648 in direction 0
best m,c is 1.670000,11.110000 with error 15.385817 in direction 0
best m,c is 1.670000,11.120000 with error 15.381991 in direction 0
best m,c is 1.670000,11.130000 with error 15.378171 in direction 0
best m,c is 1.670000,11.140000 with error 15.374356 in direction 0
best m,c is 1.670000,11.150000 with error 15.370547 in direction 0
best m,c is 1.670000,11.160000 with error 15.366744 in direction 0
best m,c is 1.670000,11.170000 with error 15.362946 in direction 0
best m,c is 1.670000,11.180000 with error 15.359153 in direction 0
best m,c is 1.670000,11.190000 with error 15.355367 in direction 0
best m,c is 1.670000,11.200000 with error 15.351585 in direction 0
best m,c is 1.670000,11.210000 with error 15.347810 in direction 0
best m,c is 1.670000,11.220000 with error 15.344040 in direction 0
best m,c is 1.670000,11.230000 with error 15.340275 in direction 0
best m,c is 1.670000,11.240000 with error 15.336516 in direction 0
best m,c is 1.670000,11.250000 with error 15.332763 in direction 0
best m,c is 1.670000,11.260000 with error 15.329015 in direction 0
best m,c is 1.660000,11.270000 with error 15.325168 in direction 7
best m,c is 1.660000,11.280000 with error 15.321106 in direction 0
best m,c is 1.660000,11.290000 with error 15.317049 in direction 0
best m,c is 1.660000,11.300000 with error 15.312997 in direction 0
best m,c is 1.660000,11.310000 with error 15.308951 in direction 0
best m,c is 1.660000,11.320000 with error 15.304910 in direction 0
best m,c is 1.660000,11.330000 with error 15.300875 in direction 0
best m,c is 1.660000,11.340000 with error 15.296845 in direction 0
best m,c is 1.660000,11.350000 with error 15.292821 in direction 0
best m,c is 1.660000,11.360000 with error 15.288802 in direction 0
best m,c is 1.660000,11.370000 with error 15.284789 in direction 0
best m,c is 1.660000,11.380000 with error 15.280781 in direction 0
best m,c is 1.660000,11.390000 with error 15.276779 in direction 0
best m,c is 1.660000,11.400000 with error 15.272782 in direction 0
best m,c is 1.660000,11.410000 with error 15.268791 in direction 0
best m,c is 1.660000,11.420000 with error 15.264805 in direction 0
best m,c is 1.660000,11.430000 with error 15.260825 in direction 0
best m,c is 1.660000,11.440000 with error 15.256850 in direction 0
best m,c is 1.660000,11.450000 with error 15.252881 in direction 0
best m,c is 1.660000,11.460000 with error 15.248917 in direction 0
best m,c is 1.660000,11.470000 with error 15.244959 in direction 0
best m,c is 1.660000,11.480000 with error 15.241006 in direction 0
best m,c is 1.660000,11.490000 with error 15.237059 in direction 0
best m,c is 1.660000,11.500000 with error 15.233117 in direction 0
best m,c is 1.660000,11.510000 with error 15.229181 in direction 0
best m,c is 1.660000,11.520000 with error 15.225251 in direction 0
best m,c is 1.660000,11.530000 with error 15.221326 in direction 0
best m,c is 1.660000,11.540000 with error 15.217407 in direction 0
best m,c is 1.660000,11.550000 with error 15.213493 in direction 0
best m,c is 1.660000,11.560000 with error 15.209585 in direction 0
best m,c is 1.660000,11.570000 with error 15.205682 in direction 0
best m,c is 1.660000,11.580000 with error 15.201785 in direction 0
best m,c is 1.660000,11.590000 with error 15.197893 in direction 0
best m,c is 1.660000,11.600000 with error 15.194007 in direction 0
best m,c is 1.660000,11.610000 with error 15.190127 in direction 0
best m,c is 1.660000,11.620000 with error 15.186252 in direction 0
best m,c is 1.660000,11.630000 with error 15.182383 in direction 0
best m,c is 1.660000,11.640000 with error 15.178520 in direction 0
best m,c is 1.660000,11.650000 with error 15.174662 in direction 0
best m,c is 1.660000,11.660000 with error 15.170809 in direction 0
best m,c is 1.660000,11.670000 with error 15.166963 in direction 0
best m,c is 1.660000,11.680000 with error 15.163122 in direction 0
best m,c is 1.660000,11.690000 with error 15.159286 in direction 0
best m,c is 1.660000,11.700000 with error 15.155456 in direction 0
best m,c is 1.660000,11.710000 with error 15.151632 in direction 0
best m,c is 1.660000,11.720000 with error 15.147814 in direction 0
best m,c is 1.660000,11.730000 with error 15.144001 in direction 0
best m,c is 1.660000,11.740000 with error 15.140193 in direction 0
best m,c is 1.660000,11.750000 with error 15.136392 in direction 0
best m,c is 1.660000,11.760000 with error 15.132596 in direction 0
best m,c is 1.660000,11.770000 with error 15.128805 in direction 0
best m,c is 1.660000,11.780000 with error 15.125021 in direction 0
best m,c is 1.660000,11.790000 with error 15.121242 in direction 0
best m,c is 1.660000,11.800000 with error 15.117468 in direction 0
best m,c is 1.660000,11.810000 with error 15.113701 in direction 0
best m,c is 1.660000,11.820000 with error 15.109939 in direction 0
best m,c is 1.660000,11.830000 with error 15.106183 in direction 0
best m,c is 1.660000,11.840000 with error 15.102432 in direction 0
best m,c is 1.660000,11.850000 with error 15.098687 in direction 0
best m,c is 1.660000,11.860000 with error 15.094948 in direction 0
best m,c is 1.660000,11.870000 with error 15.091214 in direction 0
best m,c is 1.660000,11.880000 with error 15.087487 in direction 0
best m,c is 1.660000,11.890000 with error 15.083764 in direction 0
best m,c is 1.660000,11.900000 with error 15.080048 in direction 0
best m,c is 1.660000,11.910000 with error 15.076337 in direction 0
best m,c is 1.660000,11.920000 with error 15.072632 in direction 0
best m,c is 1.660000,11.930000 with error 15.068933 in direction 0
best m,c is 1.650000,11.940000 with error 15.064977 in direction 7
best m,c is 1.650000,11.950000 with error 15.060957 in direction 0
best m,c is 1.650000,11.960000 with error 15.056944 in direction 0
best m,c is 1.650000,11.970000 with error 15.052935 in direction 0
best m,c is 1.650000,11.980000 with error 15.048932 in direction 0
best m,c is 1.650000,11.990000 with error 15.044935 in direction 0
best m,c is 1.650000,12.000000 with error 15.040944 in direction 0
best m,c is 1.650000,12.010000 with error 15.036958 in direction 0
best m,c is 1.650000,12.020000 with error 15.032977 in direction 0
best m,c is 1.650000,12.030000 with error 15.029002 in direction 0
best m,c is 1.650000,12.040000 with error 15.025033 in direction 0
best m,c is 1.650000,12.050000 with error 15.021070 in direction 0
best m,c is 1.650000,12.060000 with error 15.017112 in direction 0
best m,c is 1.650000,12.070000 with error 15.013159 in direction 0
best m,c is 1.650000,12.080000 with error 15.009213 in direction 0
best m,c is 1.650000,12.090000 with error 15.005272 in direction 0
best m,c is 1.650000,12.100000 with error 15.001336 in direction 0
best m,c is 1.650000,12.110000 with error 14.997406 in direction 0
best m,c is 1.650000,12.120000 with error 14.993482 in direction 0
best m,c is 1.650000,12.130000 with error 14.989563 in direction 0
best m,c is 1.650000,12.140000 with error 14.985651 in direction 0
best m,c is 1.650000,12.150000 with error 14.981743 in direction 0
best m,c is 1.650000,12.160000 with error 14.977842 in direction 0
best m,c is 1.650000,12.170000 with error 14.973946 in direction 0
best m,c is 1.650000,12.180000 with error 14.970056 in direction 0
best m,c is 1.650000,12.190000 with error 14.966171 in direction 0
best m,c is 1.650000,12.200000 with error 14.962292 in direction 0
best m,c is 1.650000,12.210000 with error 14.958419 in direction 0
best m,c is 1.650000,12.220000 with error 14.954551 in direction 0
best m,c is 1.650000,12.230000 with error 14.950689 in direction 0
best m,c is 1.650000,12.240000 with error 14.946833 in direction 0
best m,c is 1.650000,12.250000 with error 14.942983 in direction 0
best m,c is 1.650000,12.260000 with error 14.939138 in direction 0
best m,c is 1.650000,12.270000 with error 14.935299 in direction 0
best m,c is 1.650000,12.280000 with error 14.931465 in direction 0
best m,c is 1.650000,12.290000 with error 14.927638 in direction 0
best m,c is 1.650000,12.300000 with error 14.923816 in direction 0
best m,c is 1.650000,12.310000 with error 14.920000 in direction 0
best m,c is 1.650000,12.320000 with error 14.916189 in direction 0
best m,c is 1.650000,12.330000 with error 14.912384 in direction 0
best m,c is 1.650000,12.340000 with error 14.908585 in direction 0
best m,c is 1.650000,12.350000 with error 14.904792 in direction 0
best m,c is 1.650000,12.360000 with error 14.901005 in direction 0
best m,c is 1.650000,12.370000 with error 14.897223 in direction 0
best m,c is 1.650000,12.380000 with error 14.893447 in direction 0
best m,c is 1.650000,12.390000 with error 14.889677 in direction 0
best m,c is 1.650000,12.400000 with error 14.885912 in direction 0
best m,c is 1.650000,12.410000 with error 14.882153 in direction 0
best m,c is 1.650000,12.420000 with error 14.878400 in direction 0
best m,c is 1.650000,12.430000 with error 14.874653 in direction 0
best m,c is 1.650000,12.440000 with error 14.870912 in direction 0
best m,c is 1.650000,12.450000 with error 14.867176 in direction 0
best m,c is 1.650000,12.460000 with error 14.863446 in direction 0
best m,c is 1.650000,12.470000 with error 14.859722 in direction 0
best m,c is 1.650000,12.480000 with error 14.856004 in direction 0
best m,c is 1.650000,12.490000 with error 14.852292 in direction 0
best m,c is 1.650000,12.500000 with error 14.848585 in direction 0
best m,c is 1.650000,12.510000 with error 14.844884 in direction 0
best m,c is 1.650000,12.520000 with error 14.841189 in direction 0
best m,c is 1.650000,12.530000 with error 14.837500 in direction 0
best m,c is 1.650000,12.540000 with error 14.833817 in direction 0
best m,c is 1.650000,12.550000 with error 14.830139 in direction 0
best m,c is 1.650000,12.560000 with error 14.826467 in direction 0
best m,c is 1.650000,12.570000 with error 14.822801 in direction 0
best m,c is 1.650000,12.580000 with error 14.819141 in direction 0
best m,c is 1.650000,12.590000 with error 14.815487 in direction 0
best m,c is 1.640000,12.600000 with error 14.811750 in direction 7
best m,c is 1.640000,12.610000 with error 14.807770 in direction 0
best m,c is 1.640000,12.620000 with error 14.803796 in direction 0
best m,c is 1.640000,12.630000 with error 14.799828 in direction 0
best m,c is 1.640000,12.640000 with error 14.795865 in direction 0
best m,c is 1.640000,12.650000 with error 14.791908 in direction 0
best m,c is 1.640000,12.660000 with error 14.787957 in direction 0
best m,c is 1.640000,12.670000 with error 14.784011 in direction 0
best m,c is 1.640000,12.680000 with error 14.780071 in direction 0
best m,c is 1.640000,12.690000 with error 14.776137 in direction 0
best m,c is 1.640000,12.700000 with error 14.772209 in direction 0
best m,c is 1.640000,12.710000 with error 14.768286 in direction 0
best m,c is 1.640000,12.720000 with error 14.764369 in direction 0
best m,c is 1.640000,12.730000 with error 14.760457 in direction 0
best m,c is 1.640000,12.740000 with error 14.756552 in direction 0
best m,c is 1.640000,12.750000 with error 14.752652 in direction 0
best m,c is 1.640000,12.760000 with error 14.748758 in direction 0
best m,c is 1.640000,12.770000 with error 14.744870 in direction 0
best m,c is 1.640000,12.780000 with error 14.740987 in direction 0
best m,c is 1.640000,12.790000 with error 14.737110 in direction 0
best m,c is 1.640000,12.800000 with error 14.733239 in direction 0
best m,c is 1.640000,12.810000 with error 14.729374 in direction 0
best m,c is 1.640000,12.820000 with error 14.725515 in direction 0
best m,c is 1.640000,12.830000 with error 14.721661 in direction 0
best m,c is 1.640000,12.840000 with error 14.717813 in direction 0
best m,c is 1.640000,12.850000 with error 14.713971 in direction 0
best m,c is 1.640000,12.860000 with error 14.710135 in direction 0
best m,c is 1.640000,12.870000 with error 14.706304 in direction 0
best m,c is 1.640000,12.880000 with error 14.702479 in direction 0
best m,c is 1.640000,12.890000 with error 14.698661 in direction 0
best m,c is 1.640000,12.900000 with error 14.694847 in direction 0
best m,c is 1.640000,12.910000 with error 14.691040 in direction 0
best m,c is 1.640000,12.920000 with error 14.687239 in direction 0
best m,c is 1.640000,12.930000 with error 14.683443 in direction 0
best m,c is 1.640000,12.940000 with error 14.679653 in direction 0
best m,c is 1.640000,12.950000 with error 14.675869 in direction 0
best m,c is 1.640000,12.960000 with error 14.672091 in direction 0
best m,c is 1.640000,12.970000 with error 14.668319 in direction 0
best m,c is 1.640000,12.980000 with error 14.664553 in direction 0
