image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 403119ns or 0.000403119s,,,0.000403119
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 422959ns or 0.000422959s,,,0.000422959
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 574086ns or 0.000574086s,,,0.000574086
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 369008ns or 0.000369008s,,,0.000369008
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 318128ns or 0.000318128s,,,0.000318128
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 257622ns or 0.000257622s,,,0.000257622
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 260075ns or 0.000260075s,,,0.000260075
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 400031ns or 0.000400031s,,,0.000400031
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 286601ns or 0.000286601s,,,0.000286601
image dimensions 100x72,,,
image dimensions 100x72,,,
Time elapsed was 272217ns or 0.000272217s,,,0.000272217
,,,
Mean Time =,,,0.0003563846
